31	312+354	0	5516	1	137711at6656|de_novo.Agm54242U_210909_035710_10813799_ccs.1|+|58|7.973e-11|1|312|665|312[312]:665[665]:354[354]
77	529+891	0	735	1	87575at6656|de_novo.Agm54242U_210819_213017_102106560_ccs.1|+|83|2.376e-18|1|529|1419|529[529]:1419[1419]:891[891]
87	60+2148	0	15097	1	31119at6656|de_novo.Agseq_128726.1|+|101|9.064e-24|1|60|2207|60[60]:2207[2207]:2148[2148]
122	194+1329	0	14860	1	2456at6656|de_novo.Agm54242U_210819_213017_6881725_ccs.1|+|338|4.104e-95|1|194|1522|194[194]:1522[1522]:1329[1329]
125	324+978	0	10235	1	33187at6656|de_novo.Agm54242U_210819_213017_69468663_ccs.1|+|112|4.426e-27|1|324|1301|324[324]:1301[1301]:978[978]
137	6+558	0	10135	1	39506at6656|de_novo.Agm54242Ue_220404_200923_128319679_ccs.1|+|66|3.115e-13|1|6|563|6[6]:563[563]:558[558]
147	155-153	0	11285	-1	137197at6656|de_novo.Agseq_144596.1|-|38|8.36e-05|1|3|155|155[155]:3[3]:153[153]
173	408+792	0	7118	1	144337at6656|de_novo.Agm54242Ue_220404_200923_656519_ccs.1|+|117|1.383e-28|1|408|1199|408[408]:1199[1199]:792[792]
182	171+942	0	10615	1	20935at6656|de_novo.Agseq_89885.1|+|70|1.947e-14|1|171|1112|171[171]:1112[1112]:942[942]
187	63+1635	0	19356	1	39506at6656|de_novo.Agm54242U_210819_213017_86050263_ccs.1|+|35|0.0006688|1|63|1697|63[63]:1697[1697]:1635[1635]
198	59+183	0	6127	1	143154at6656|de_novo.Agm54242Ue_220404_200923_98634185_ccs.1|+|51|1.021e-08|1|59|241|59[59]:241[241]:183[183]
232	1632+921	0	2798	1	68491at6656|de_novo.AGAP003279-RA.1|+|48|8.165e-08|1|1632|2552|1632[1632]:2552[2552]:921[921]
232	831+1032	0	5462	1	93152at6656|de_novo.AGAP003279-RA.1|+|53|2.551e-09|1|831|1862|831[831]:1862[1862]:1032[1032]
270	84+279	0	20174	1	137711at6656|de_novo.Agseq_69883.1|+|51|1.021e-08|1|84|362|84[84]:362[362]:279[279]
277	357+525	0	21186	1	87575at6656|de_novo.AGAP004016-RA.1|+|62|4.983e-12|1|357|881|357[357]:881[881]:525[525]
298	249+1491	0	7520	1	61577at6656|de_novo.Agseq_126557.1|+|225|4.262e-61|1|249|1739|249[249]:1739[1739]:1491[1491]
316	1649+1548	0	1630	1	13736at6656|de_novo.Agm54242U_210819_213017_144310362_ccs.1|+|128|6.754e-32|1|1649|3196|1649[1649]:3196[3196]:1548[1548]
337	451+723	0	4597	1	118807at6656|de_novo.Agm54242U_210909_035710_12322264_ccs.1|+|83|2.376e-18|1|451|1173|451[451]:1173[1173]:723[723]
345	40+177	0	16908	1	159231at6656|de_novo.AGAP005136-RA.1|+|38|8.36e-05|1|40|216|40[40]:216[216]:177[177]
